"0107","003.1     ","PIS SOBRE VENDAS             ","TF ","00120369 ","0","IMPOSTOS FEDERAIS   ","20140925","20140925","169"
"0107","003.1     ","PIS SOBRE VENDAS             ","TF ","11/2014  ","0","IMPOSTOS FEDERAIS   ","20141201","20141201","328"
"0107","003.2     ","COFINS SOBRE VENDA           ","TF ","00121203'","0","IMPOSTOS FEDERAIS   ","20140925","20140925","779"
"0107","003.2     ","COFINS SOBRE VENDA           ","TF ","11/2014  ","2","IMPOSTOS FEDERAIS   ","20141205","20141205","1510"
"0107","003.3     ","ICMS SOBRE VENDAS             ","114","10/2014  "," ","GOVERNO ESTADUAL    ","20141110","20141110","141,46"
"0107","003.3     ","ICMS SOBRE VENDAS             ","117","10/2014  "," ","GOVERNO ESTADUAL    ","20141110","20141110","1537,78"
"0107","003.3     ","ICMS SOBRE VENDAS             ","DAE","10/2014  "," ","GOVERNO ESTADUAL    ","20141111","20141111","1242,96"
"0107","003.3     ","ICMS SOBRE VENDAS             ","DAE","11/2014  "," ","GOVERNO ESTADUAL    ","20141216","20141216","23,5"
"0107","003.4     ","DAS                           ","114","00315586 ","0","GOVERNO ESTADUAL    ","20140410","20140410","26,83"
"0107","003.4     ","DAS                           ","DAE","00553079 ","0","GOVERNO ESTADUAL    ","20140512","20140514","371,05"
"0107","003.4     ","DAS                           ","DAE","032014   ","1","GOVERNO ESTADUAL    ","20140516","20140516","3509,97"
"0107","003.4     ","DAS                           ","DAE","28118    ","0","GOVERNO ESTADUAL    ","20140516","20140516","23,45"
"0107","003.4     ","DAS                           ","DAE","594227   ","0","GOVERNO ESTADUAL    ","20140527","20140527","2180,77"
"0107","003.4     ","DAS                           ","BOL","00320195 ","0","GOVERNO ESTADUAL    ","20140610","20140616","23,13"
"0107","003.4     ","DAS                           ","DAE","07/2014  "," ","GOVERNO ESTADUAL    ","20140821","20140821","23,59"
"0107","003.4     ","DAS                           ","114","000045   "," ","IMPOSTOS ESTADUAIS  ","20140710","20140710","1982,6"
"0107","003.4     ","DAS                           ","114","06/2014  "," ","IMPOSTOS ESTADUAIS  ","20140810","20140811","1205,42"
"0107","003.4     ","DAS                           ","FT ","07/2014  "," ","IMPOSTOS ESTADUAIS  ","20140811","20140811","65,16"
"0107","003.4     ","DAS                           ","114","10102014 "," ","IMPOSTOS ESTADUAIS  ","20141010","20141010","23,13"
"0107","003.4     ","DAS                           ","DAE","711489900"," ","IMPOSTOS ESTADUAIS  ","20141010","20141010","1004,91"
"0202","003.4     ","DAS                           ","DAE","10102014 "," ","IMPOSTOS ESTADUAIS  ","20141010","20141013","309,04"
"0107","003.4     ","DAS                           ","114","11/2014  "," ","IMPOSTOS ESTADUAIS  ","20141210","20141210","692,55"
"0107","003.4     ","DAS                           ","117","11/2014  "," ","IMPOSTOS ESTADUAIS  ","20141210","20141210","4982,65"
"0107","003.4     ","DAS                           ","FT ","89855276 "," ","IMPOSTOS FEDERAIS   ","20140910","20140910","218,85"
"0107","003.4     ","DAS                           ","FT ","89909440 "," ","IMPOSTOS FEDERAIS   ","20140910","20140910","426,59"
"0107","003.4     ","DAS                           ","DAE","489966496"," ","IMPOSTOS FEDERAIS   ","20140912","20140912","234,26"
"0107","003.4     ","DAS                           ","DAE","100920104"," ","IMPOSTOS FEDERAIS   ","20140917","20140917","23,52"
"0107","003.4     ","DAS                           ","DAE","10102014 "," ","IMPOSTOS FEDERAIS   ","20141010","20141010","309,04"
"0202","003.4     ","DAS                           ","DAS","11/2014  "," ","IMPOSTOS FEDERAIS   ","20141222","20141222","3411,15"
"0202","007.1     ","DESPESAS COM PESSOAL         ","DH ","0377122  "," ","RENATO SANTOS       ","20140924","20140924","64"
"0202","007.1.01  ","SALARIOS                     ","BOL","04/2014  ","1","ALEXANDRE FERNANDES ","20140430","20140430","996,39"
"0202","007.1.01  ","SALARIOS                     ","RC ","05/2014  ","0","ALEXANDRE FERNANDES ","20140603","20140603","997,4"
"0202","007.1.01  ","SALARIOS                     ","FOL","062014   "," ","ALEXANDRE FERNANDES ","20140703","20140710","955,34"
"0202","007.1.01  ","SALARIOS                     ","RC ","08/2014  "," ","ALEXANDRE FERNANDES ","20140903","20140905","981,26"
"0202","007.1.01  ","SALARIOS                     ","DH ","521105   "," ","ALEXANDRE FERNANDES ","20141003","20141006","1002,38"
"0202","007.1.01  ","SALARIOS                     ","RC ","11/2014  "," ","DENILSON COSTA DA SI","20141201","20141130","666,08"
"0202","007.1.01  ","SALARIOS                     ","RC ","12/2014  "," ","DENILSON COSTA DA SI","20141231","20141231","977,4"
"0202","007.1.01  ","SALARIOS                     ","BOL","188761   "," ","INVIOLAVEL          ","20140915","20140912","309,26"
"0202","007.1.01  ","SALARIOS                     ","BOL","022014   ","1","JOSE HELIO          ","20140303","20140303","1389,47"
"0202","007.1.01  ","SALARIOS                     ","BOL","04/2014  ","1","JOSE HELIO          ","20140430","20140430","1384,56"
"0202","007.1.01  ","SALARIOS                     ","RC ","05/2014  ","0","JOSE HELIO          ","20140603","20140603","1851,67"
"0202","007.1.01  ","SALARIOS                     ","FOL","062014   "," ","JOSE HELIO          ","20140703","20140710","1484,03"
"0202","007.1.01  ","SALARIOS                     ","RC ","07/2014  "," ","JOSE HELIO          ","20140903","20140905","1568,77"
"0202","007.1.01  ","SALARIOS                     ","DH ","  521110 "," ","JOSE HELIO          ","20141003","20141006","1693,28"
"0202","007.1.01  ","SALARIOS                     ","RC ","10/2014  "," ","JOSE HELIO          ","20141031","20141031","1682,35"
"0202","007.1.01  ","SALARIOS                     ","RC ","11/2014  ","1","JOSE HELIO          ","20141128","20141128","1510,04"
"0202","007.1.01  ","SALARIOS                     ","RC ","12/2014  "," ","JOSE HELIO          ","20141231","20141231","36,41"
"0202","007.1.01  ","SALARIOS                     ","DH ","414105   "," ","LOJAS JATOBA        ","20140804","20140804","1097,95"
"0202","007.1.01  ","SALARIOS                     ","DH ","421125   "," ","LOJAS JATOBA        ","20140804","20140804","785"
"0202","007.1.01  ","SALARIOS                     ","DH ","521105   "," ","LOJAS JATOBA        ","20140804","20140804","977,07"
"0202","007.1.01  ","SALARIOS                     ","DH ","521110   "," ","LOJAS JATOBA        ","20140804","20140804","1631,38"
"0107","007.1.01  ","SALARIOS                     ","DH ","07/20140 ","0","LOJAS JATOBA        ","20140804","20140804","1121,82"
"0202","007.1.01  ","SALARIOS                     ","BOL","0022014  ","1","LUCIANO             ","20140303","20140303","1733,96"
"0202","007.1.01  ","SALARIOS                     ","BOL","75226760 ","1","LUCIANO             ","20140430","20140430","1652,9"
"0107","007.1.01  ","SALARIOS                     ","RC ","11/2014  ","1","LUCIANO             ","20141128","20141128","1365"
"0107","007.1.01  ","SALARIOS                     ","RC ","12/2014  "," ","LUCIANO             ","20141231","20141231","1365"
"0202","007.1.01  ","SALARIOS                     ","FOL","71102109 "," ","LUCILEIA            ","20140703","20140710","498"
"0202","007.1.01  ","SALARIOS                     ","RC ","08/2014  "," ","LUCILEIA            ","20140903","20140905","825,12"
"0202","007.1.01  ","SALARIOS                     ","DH ","421125   "," ","LUCILEIA            ","20141003","20141006","836,97"
"0202","007.1.01  ","SALARIOS                     ","RC ","10/2014  "," ","LUCILEIA            ","20141031","20141031","850,08"
"0202","007.1.01  ","SALARIOS                     ","RC ","11/2014  ","1","LUCILEIA            ","20141128","20141128","809,27"
"0202","007.1.01  ","SALARIOS                     ","RC ","12/2014  "," ","LUCILEIA            ","20141231","20141231","826,23"
"0202","007.1.01  ","SALARIOS                     ","BOL","022014   ","1","MANOEL RODRIGUES    ","20140303","20140303","1016,5"
"0202","007.1.01  ","SALARIOS                     ","BOL","04/2014  ","1","MANOEL RODRIGUES    ","20140430","20140430","1016,5"
"0202","007.1.01  ","SALARIOS                     ","RC ","05/2014  ","0","MANOEL RODRIGUES    ","20140603","20140603","1016,5"
"0202","007.1.01  ","SALARIOS                     ","FOL","062014   "," ","MANOEL RODRIGUES    ","20140703","20140710","994,86"
"0202","007.1.01  ","SALARIOS                     ","RC ","08/2014  "," ","MANOEL RODRIGUES    ","20140903","20140905","1036,05"
"0202","007.1.01  ","SALARIOS                     ","DH ","514120   "," ","MANOEL RODRIGUES    ","20141003","20141006","1036,05"
"0202","007.1.01  ","SALARIOS                     ","RC ","10/2014  "," ","MANOEL RODRIGUES    ","20141031","20141031","997,58"
"0202","007.1.01  ","SALARIOS                     ","RC ","11/2014  ","1","MANOEL RODRIGUES    ","20141128","20141128","1036,05"
"0202","007.1.01  ","SALARIOS                     ","RC ","12/2014  "," ","MANOEL RODRIGUES    ","20141231","20141231","1027,51"
"0202","007.1.01  ","SALARIOS                     ","BOL","022014   ","1","NILSON BALBINO      ","20140303","20140303","1114,24"
"0202","007.1.01  ","SALARIOS                     ","BOL","04/2014  ","1","NILSON BALBINO      ","20140430","20140430","1024,22"
"0202","007.1.01  ","SALARIOS                     ","RC ","05/2014  "," ","NILSON BALBINO      ","20140603","20140603","978,62"
"0202","007.1.01  ","SALARIOS                     ","FOL","062014   "," ","NILSON BALBINO      ","20140702","20140710","989,71"
"0202","007.1.01  ","SALARIOS                     ","RC ","08/2014  "," ","NILSON BALBINO      ","20140903","20140905","994,36"
"0202","007.1.01  ","SALARIOS                     ","DH ","414105   "," ","NILSON BALBINO      ","20141003","20141008","1026,2"
"0202","007.1.01  ","SALARIOS                     ","RC ","10/2014  "," ","NILSON BALBINO      ","20141031","20141031","36,73"
"0202","007.1.01  ","SALARIOS                     ","RC ","11/2014  ","1","NILSON BALBINO      ","20141128","20141128","1046,89"
"0202","007.1.01  ","SALARIOS                     ","RC ","12/2014  "," ","NILSON BALBINO      ","20141231","20141231","1114,24"
"0107","007.1.01  ","SALARIOS                     ","RC ","030514/01","0","RENATO SANTOS       ","20140603","20140603","1121,82"
"0107","007.1.01  ","SALARIOS                     ","FOL","062014   "," ","RENATO SANTOS       ","20140703","20140710","1121,82"
"0107","007.1.01  ","SALARIOS                     ","RC ","08/2014  "," ","RENATO SANTOS       ","20140901","20140905","2121,82"
"0107","007.1.01  ","SALARIOS                     ","DH ","03102014 "," ","RENATO SANTOS       ","20141003","20141003","1121,82"
"0107","007.1.01  ","SALARIOS                     ","RC ","10/2014  "," ","RENATO SANTOS       ","20141104","20141104","1121,82"
